"sblack","shisp","swhite","sother","smale","sage","sempl","sincome","spop","daytime","inctype_lin","omajblack","omajhisp","omajwhite","omajother","osplit","sbehavior","year","anyuseofforce_coded"
0,0,1,0,0,36,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,35,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,37,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,39,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,44,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,44,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,43,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,40,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,42,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,0,1,0,41,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,42,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,43,1,2,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,43,1,3,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,42,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,47,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,45,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,48,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,49,1,2,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,49,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,0,1,0,49,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,49,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,45,0,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,47,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,48,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,48,0,1,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,49,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,45,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,50,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,52,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,53,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,52,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,50,1,1,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,53,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,52,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,50,0,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,53,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,53,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,52,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,55,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,57,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,58,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,55,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,58,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,59,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,55,1,3,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,59,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,57,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,55,0,3,1,1,1,0,0,1,0,0,1,2011,0
0,0,1,0,0,61,1,1,1,0,2,1,0,0,0,0,0,2011,0
0,0,1,0,0,60,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,0,3,1,1,2,1,0,0,0,0,0,2011,0
0,0,1,0,0,61,0,1,4,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,62,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,63,0,3,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,63,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,66,0,1,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,0,66,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,65,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,69,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,65,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,65,0,3,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,0,67,0,2,1,1,1,0,0,1,0,0,0,2011,0
0,0,1,0,0,74,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,83,0,3,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,20,0,1,2,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,20,1,3,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,24,1,3,2,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,28,1,2,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,25,1,1,2,0,2,0,0,1,0,0,1,2011,0
1,0,0,0,1,28,1,2,3,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,26,0,1,1,1,2,1,0,0,0,0,0,2011,0
1,0,0,0,1,30,1,3,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,30,0,3,2,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,32,1,2,1,1,1,0,0,1,0,0,0,2011,1
1,0,0,0,1,36,0,1,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,37,0,2,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,37,1,3,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,35,1,1,3,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,54,0,3,1,0,2,1,0,0,0,0,0,2011,0
1,0,0,0,1,53,0,2,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,54,1,2,2,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,52,1,1,2,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,56,1,3,2,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,55,0,1,2,1,1,0,0,1,0,0,0,2011,0
1,0,0,0,1,61,0,2,2,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,62,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,17,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,18,1,3,1,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,18,0,3,1,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,18,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,19,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,19,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,19,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,19,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,18,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,19,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,20,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,20,1,3,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,20,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,20,0,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,1,1,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,20,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,0,1,1,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,21,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,20,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,20,0,1,1,1,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,24,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,22,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,22,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,24,1,3,1,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,22,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,24,1,2,1,0,1,0,1,0,0,0,1,2011,0
0,0,1,0,1,23,1,3,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,24,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,24,0,1,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,23,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,0,1,1,28,1,3,1,1,2,0,1,0,0,0,0,2011,0
0,0,0,1,1,26,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,28,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,29,1,3,1,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,29,1,3,1,1,2,1,0,0,0,0,0,2011,0
0,0,1,0,1,26,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,28,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,29,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,28,1,3,1,0,1,0,0,1,0,0,1,2011,0
0,0,1,0,1,26,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,29,1,1,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,26,0,3,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,28,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,27,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,26,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,29,1,3,3,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,27,1,1,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,25,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,28,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,31,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,1,2,2,0,2,1,0,0,0,0,0,2011,0
0,0,1,0,1,34,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,32,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,31,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,34,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,31,1,3,1,0,2,1,0,0,0,0,0,2011,0
0,0,1,0,1,33,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,32,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,31,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,34,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,3,1,1,2,0,1,0,0,0,0,2011,0
0,0,0,1,1,30,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,1,1,1,1,2,1,0,0,0,0,0,2011,0
0,0,1,0,1,31,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,37,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,37,1,3,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,39,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,37,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,36,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,0,1,1,37,0,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,38,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,35,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,39,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,38,1,1,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,38,1,2,1,1,2,1,0,0,0,0,1,2011,0
0,0,1,0,1,38,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,36,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,39,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,38,1,2,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,39,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,39,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,36,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,44,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,44,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,43,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,41,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,40,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,40,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,41,1,1,1,1,2,0,0,1,0,0,1,2011,0
0,0,0,1,1,42,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,42,1,3,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,42,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,43,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,41,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,43,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,42,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,42,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,44,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,43,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,43,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,45,1,1,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,47,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,46,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,46,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,45,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,47,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,47,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,45,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,45,1,2,1,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,49,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,47,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,48,1,1,1,1,2,1,0,0,0,0,0,2011,0
0,0,1,0,1,47,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,48,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,48,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,49,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,49,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,45,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,50,1,2,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,52,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,50,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,51,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,51,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,50,1,2,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,53,1,3,2,1,2,0,1,0,0,0,1,2011,0
0,0,1,0,1,51,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,52,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,51,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,52,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,52,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,50,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,51,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,51,1,3,1,1,2,0,1,0,0,0,0,2011,0
0,0,1,0,1,57,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,56,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,55,1,3,1,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,55,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,55,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,55,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,58,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,56,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,61,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,60,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,61,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,62,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,63,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,64,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,63,1,3,1,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,69,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,66,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,66,1,3,1,1,2,0,1,0,0,0,0,2011,0
0,0,1,0,1,66,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,68,0,3,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,66,0,2,3,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,73,0,1,1,1,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,71,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,73,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,72,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,71,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,74,1,2,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,73,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,72,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,70,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,72,0,1,1,1,2,1,0,0,0,0,0,2011,0
0,0,1,0,1,74,0,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,77,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,77,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,82,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,80,0,2,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,0,21,1,1,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,0,24,1,2,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,0,26,1,2,1,1,2,0,0,1,0,0,1,2011,0
1,0,0,0,0,42,1,2,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,0,58,1,1,2,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,0,56,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,16,1,3,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,0,16,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,17,0,3,1,1,2,0,1,0,0,0,0,2011,0
0,0,1,0,0,17,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,17,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,19,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,18,0,3,1,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,0,19,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,18,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,21,1,1,1,1,2,0,1,0,0,0,0,2011,0
0,0,1,0,0,20,1,3,1,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,0,20,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,23,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,23,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,24,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,22,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,22,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,0,1,0,24,1,1,2,1,2,1,0,0,0,0,0,2011,0
0,0,1,0,0,23,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,22,0,1,3,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,22,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,23,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,22,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,28,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,27,1,2,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,28,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,29,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,29,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,29,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,29,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,29,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,28,0,2,2,0,2,0,0,1,0,0,1,2011,1
0,0,1,0,0,28,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,29,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,26,1,1,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,28,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,0,1,0,25,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,28,0,2,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,26,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,26,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,27,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,29,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,29,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,27,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,30,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,32,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,33,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,32,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,34,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,34,1,2,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,0,31,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,34,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,32,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,30,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,30,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,30,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,31,1,2,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,30,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,34,1,3,3,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,35,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,35,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,37,0,1,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,38,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,0,1,0,37,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,36,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,38,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,37,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,35,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,36,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,39,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,35,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,37,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,39,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,37,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,37,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,39,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,42,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,43,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,41,0,3,2,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,0,42,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,43,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,44,1,1,1,1,2,1,0,0,0,0,0,2011,0
0,0,1,0,0,40,0,2,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,0,43,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,41,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,42,1,1,1,1,2,0,0,1,0,0,0,2011,0
